date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2023-10-01,2023,0,,STL,CIN,1516.49003264752,1454.67214369764,0.6210500366643077,0.3789499633356923,,,1515.73291013587,1449.11646665464,,,,,,,0.6285093382942183,0.3714906617057817,,,,
2023-10-01,2023,0,,SEA,TEX,1527.42742209796,1516.65312779482,0.5498777898365504,0.45012221016344955,,,1517.96925626438,1522.7286854513,,,,,,,0.531794128074203,0.468205871925797,,,,
2023-10-01,2023,0,,NYM,PHI,1511.83421930028,1510.31606938541,0.5366576770435585,0.4633423229564415,,,1532.44133693597,1516.15301370082,,,,,,,0.5609831608029495,0.4390168391970505,,,,
2023-10-01,2023,0,,MIL,CHC,1508.5654716066,1492.91810830376,0.556810758249885,0.443189241750115,,,1521.67024346057,1489.96621742711,,,,,,,0.5765523260759835,0.4234476739240165,,,,
2023-10-01,2023,0,,KCR,NYY,1441.18782809923,1549.14630159051,0.3814722794510663,0.6185277205489337,,,1434.23950539886,1561.50330233071,,,,,,,0.35624377260459605,0.643756227395404,,,,
2023-10-01,2023,0,,DET,CLE,1469.94745458315,1501.51221839995,0.48911514975681303,0.510884850243187,,,1453.79516732821,1512.55530148703,,,,,,,0.4531277199974636,0.5468722800025364,,,,
2023-10-01,2023,0,,COL,MIN,1467.29562278404,1510.27863463404,0.4727084020032401,0.5272915979967598,,,1447.12332446945,1526.71342010761,,,,,,,0.42084205096803684,0.5791579490319632,,,,
2023-10-01,2023,0,,CHW,SDP,1477.49521046455,1511.22797190944,0.48599709303457156,0.5140029069654284,,,1480.83331248173,1532.69730972074,,,,,,,0.45903446182128416,0.5409655381787158,,,,
2023-10-01,2023,0,,ARI,HOU,1509.285351531,1571.78801468398,0.44481593363821076,0.5551840663617893,,,1497.0283320267,1561.25639241563,,,,,,,0.4442944648439897,0.5557055351560103,,,,
2023-10-01,2023,0,,TOR,TBD,1528.70815930781,1566.78866132929,0.47974761522965925,0.5202523847703407,,,1537.12579422248,1563.89741822003,,,,,,,0.5002754062386566,0.49972459376134337,,,,
2023-10-01,2023,0,,ANA,OAK,1500.4043385039,1411.21358956182,0.6573660470766877,0.34263395292331233,,,1514.58594635796,1400.19772640623,,,,,,,0.6872078311657872,0.3127921688342128,,,,
2023-10-01,2023,0,,SFG,LAD,1508.10761305707,1572.78303383899,0.4417293432337362,0.5582706567662639,,,1503.1323863893,1565.47320511142,,,,,,,0.44478883644745,0.5552111635525501,,,,
2023-10-01,2023,0,,PIT,FLA,1478.3896616987,1473.34985689051,0.5416945886447406,0.4583054113552594,,,1473.3833733539,1484.7052790712,,,,,,,0.5188060657367028,0.48119393426329715,,,,
2023-10-01,2023,0,,BAL,BOS,1524.45113098039,1515.2283244981,0.5476662676219618,0.4523337323780382,,,1507.86281297269,1519.95558937909,,,,,,,0.514645725434106,0.485354274565894,,,,
2023-10-01,2023,0,,ATL,WSN,1561.22938251045,1461.30011347048,0.6711507238118398,0.3288492761881602,,,1564.05388447092,1442.10308624744,,,,,,,0.6998210093504963,0.3001789906495037,,,,
2023-09-30,2023,0,,SEA,TEX,1527.42742209796,1516.65312779482,0.5498777898365504,0.45012221016344955,,,1517.96925626438,1522.7286854513,,,,,,,0.531794128074203,0.468205871925797,,,,
2023-09-30,2023,0,,ANA,OAK,1500.4043385039,1411.21358956182,0.6573660470766877,0.34263395292331233,,,1514.58594635796,1400.19772640623,,,,,,,0.6872078311657872,0.3127921688342128,,,,
2023-09-30,2023,0,,SFG,LAD,1508.10761305707,1572.78303383899,0.4417293432337362,0.5582706567662639,,,1503.1323863893,1565.47320511142,,,,,,,0.44478883644745,0.5552111635525501,,,,
2023-09-30,2023,0,,COL,MIN,1467.29562278404,1510.27863463404,0.4727084020032401,0.5272915979967598,,,1447.12332446945,1526.71342010761,,,,,,,0.42084205096803684,0.5791579490319632,,,,
2023-09-30,2023,0,,ARI,HOU,1509.285351531,1571.78801468398,0.44481593363821076,0.5551840663617893,,,1497.0283320267,1561.25639241563,,,,,,,0.4442944648439897,0.5557055351560103,,,,
2023-09-30,2023,0,,ATL,WSN,1561.22938251045,1461.30011347048,0.6711507238118398,0.3288492761881602,,,1564.05388447092,1442.10308624744,,,,,,,0.6998210093504963,0.3001789906495037,,,,
2023-09-30,2023,0,,STL,CIN,1516.49003264752,1454.67214369764,0.6210500366643077,0.3789499633356923,,,1515.73291013587,1449.11646665464,,,,,,,0.6285093382942183,0.3714906617057817,,,,
2023-09-30,2023,0,,NYM,PHI,1511.83421930028,1510.31606938541,0.5366576770435585,0.4633423229564415,,,1532.44133693597,1516.15301370082,,,,,,,0.5609831608029495,0.4390168391970505,,,,
2023-09-30,2023,0,,MIL,CHC,1508.5654716066,1492.91810830376,0.556810758249885,0.443189241750115,,,1521.67024346057,1489.96621742711,,,,,,,0.5765523260759835,0.4234476739240165,,,,
2023-09-30,2023,0,,KCR,NYY,1441.18782809923,1549.14630159051,0.3814722794510663,0.6185277205489337,,,1434.23950539886,1561.50330233071,,,,,,,0.35624377260459605,0.643756227395404,,,,
2023-09-30,2023,0,,CHW,SDP,1477.49521046455,1511.22797190944,0.48599709303457156,0.5140029069654284,,,1480.83331248173,1532.69730972074,,,,,,,0.45903446182128416,0.5409655381787158,,,,
