playerId,Name,HR,AVG,OPS,team
670869,Livan Soto,0,.222,.639,Los Angeles Angels
543543,Brad Miller,1,.208,.637,Texas Rangers
596146,Max Kepler,7,.192,.634,Minnesota Twins
623205,Andrew Velazquez,0,.200,.633,Los Angeles Angels
624415,Cavan Biggio,6,.185,.631,Toronto Blue Jays
642708,Amed Rosario,1,.248,.631,Cleveland Guardians
683011,Anthony Volpe,9,.195,.631,New York Yankees
408234,Miguel Cabrera,1,.230,.629,Detroit Tigers
664913,Seth Brown,4,.200,.628,Oakland Athletics
682928,CJ Abrams,6,.215,.624,Washington Nationals
643396,Isiah Kiner-Falefa,3,.238,.624,New York Yankees
664029,Mark Mathias,0,.231,.624,Pittsburgh Pirates
686668,Brenton Doyle,4,.217,.623,Colorado Rockies
687093,Vaughn Grissom,0,.277,.622,Atlanta Braves
663630,Ryan McKenna,1,.225,.620,Baltimore Orioles
641933,Tyler O'Neill,2,.228,.620,St. Louis Cardinals
595909,Jake Cave,1,.222,.619,Philadelphia Phillies
676391,Ernie Clement,0,.333,.619,Toronto Blue Jays
573131,Darin Ruf,0,.224,.619,Milwaukee Brewers
676480,Jose Barrero,2,.218,.618,Cincinnati Reds
663743,Nick Fortes,4,.234,.618,Miami Marlins
620443,Luis Torrens,0,.250,.618,Chicago Cubs
605612,Harold Castro,0,.271,.617,Colorado Rockies
571875,Jake Lamb,2,.216,.612,Los Angeles Angels
623168,Tyler Heineman,0,.211,.611,Toronto Blue Jays
666211,Taylor Trammell,3,.133,.611,Seattle Mariners
543333,Eric Hosmer,2,.234,.610,Chicago Cubs
663796,Coco Montes,1,.188,.610,Colorado Rockies
595879,Javier Baez,5,.230,.607,Detroit Tigers
668942,Josh Rojas,0,.236,.607,Arizona Diamondbacks
547989,Jose Abreu,4,.231,.605,Houston Astros
680814,Peyton Burdick,1,.182,.603,Miami Marlins
683737,Michael Busch,0,.231,.602,Los Angeles Dodgers
641525,Brandon Dixon,2,.204,.602,San Diego Padres
664728,Kyle Isbel,1,.209,.602,Kansas City Royals
663611,Nick Madrigal,0,.248,.601,Chicago Cubs
609280,Miguel Andujar,2,.161,.599,Pittsburgh Pirates
596117,Garrett Stubbs,0,.238,.599,Philadelphia Phillies
686681,Michael Massey,4,.217,.594,Kansas City Royals
669304,Jose Miranda,3,.220,.593,Minnesota Twins
664702,Myles Straw,0,.229,.593,Cleveland Guardians
669743,Alex Call,3,.209,.590,Washington Nationals
606992,Eric Haase,3,.221,.586,Detroit Tigers
641313,Tim Anderson,0,.250,.584,Chicago White Sox
663853,Romy Gonzalez,3,.194,.584,Chicago White Sox
676701,Alan Trejo,0,.241,.584,Colorado Rockies
640449,Clint Frazier,0,.217,.582,Chicago White Sox
605113,Nick Ahmed,2,.222,.581,Arizona Diamondbacks
663698,Joey Bart,0,.231,.581,San Francisco Giants
665155,Nick Maton,6,.158,.581,Detroit Tigers
677950,Alek Thomas,2,.195,.579,Arizona Diamondbacks
650859,Luis Rengifo,4,.206,.578,Los Angeles Angels
624431,Jose Trevino,3,.217,.577,New York Yankees
572287,Mike Zunino,3,.177,.577,Cleveland Guardians
541645,Avisail Garcia,3,.188,.576,Miami Marlins
543510,James McCann,3,.194,.576,Baltimore Orioles
681146,Jonah Bride,0,.209,.573,Oakland Athletics
600301,Taylor Motter,0,.200,.573,St. Louis Cardinals
663609,Luken Baker,0,.286,.572,St. Louis Cardinals
613564,Jason Vosler,3,.161,.571,Cincinnati Reds
614173,Franchy Cordero,4,.148,.568,New York Yankees
669289,Santiago Espinal,1,.207,.563,Toronto Blue Jays
668930,Brice Turang,3,.205,.561,Milwaukee Brewers
656514,Adam Haseley,0,.222,.560,Chicago White Sox
679631,Terrin Vavra,0,.245,.560,Baltimore Orioles
641531,Hunter Dozier,2,.183,.558,Kansas City Royals
641786,Kyle Lewis,1,.167,.556,Arizona Diamondbacks
621311,David Dahl,1,.111,.555,San Diego Padres
572228,Luke Voit,0,.221,.549,Milwaukee Brewers
665828,Oswaldo Cabrera,4,.195,.548,New York Yankees
543877,Christian Vazquez,0,.220,.548,Minnesota Twins
455117,Martin Maldonado,4,.178,.547,Houston Astros
681584,David Villar,4,.149,.547,San Francisco Giants
689172,Brett Wisely,2,.195,.547,San Francisco Giants
675656,Kevin Smith,4,.191,.546,Oakland Athletics
693049,Oscar Colas,1,.211,.541,Chicago White Sox
669742,Darick Hall,0,.222,.541,Philadelphia Phillies
543281,Josh Harrison,1,.211,.541,Philadelphia Phillies
571976,Wil Myers,3,.189,.540,Cincinnati Reds
672724,Oswald Peraza,0,.188,.535,New York Yankees
570731,Jonathan Schoop,0,.202,.534,Detroit Tigers
670223,Matt Mervis,3,.167,.531,Chicago Cubs
649557,Aledmys Diaz,1,.208,.530,Oakland Athletics
664059,Sam Haggerty,0,.190,.530,Seattle Mariners
600303,Tommy La Stella,0,.190,.530,Seattle Mariners
572041,AJ Pollock,4,.162,.529,Seattle Mariners
671221,Drew Waters,1,.180,.528,Kansas City Royals
608385,Jesse Winker,0,.196,.528,Milwaukee Brewers
640492,Jose Azocar,0,.235,.525,San Diego Padres
500743,Miguel Rojas,0,.227,.525,Los Angeles Dodgers
664770,Nathan Lukes,0,.158,.524,Toronto Blue Jays
640457,Austin Meadows,0,.238,.524,Detroit Tigers
669352,Bubba Thompson,0,.170,.520,Texas Rangers
614177,Franmil Reyes,2,.186,.519,Kansas City Royals
666906,Jake Alu,0,.231,.517,Washington Nationals
644374,Yu Chang,3,.136,.515,Boston Red Sox
462101,Elvis Andrus,1,.193,.511,Chicago White Sox
649966,Luis Urias,1,.097,.508,Milwaukee Brewers
624503,Nick Gordon,2,.176,.504,Minnesota Twins
669369,Bryce Johnson,1,.175,.502,San Francisco Giants
660757,Oscar Gonzalez,1,.192,.501,Cleveland Guardians
669023,Jeter Downs,0,.000,.500,Washington Nationals
656024,Carlos Perez,0,.250,.500,Chicago White Sox
656495,Dalton Guthrie,0,.167,.494,Philadelphia Phillies
516416,Jean Segura,1,.190,.493,Miami Marlins
671218,Heliot Ramos,0,.192,.491,San Francisco Giants
666915,Bobby Dalbec,0,.182,.490,Boston Red Sox
660707,Elehuris Montero,1,.179,.490,Colorado Rockies
664954,Brett Sullivan,1,.170,.482,San Diego Padres
669397,Nick Allen,1,.196,.476,Oakland Athletics
592200,Curt Casali,0,.164,.476,Cincinnati Reds
607732,Jacob Stallings,0,.163,.474,Miami Marlins
642851,Austin Wynns,0,.188,.474,Colorado Rockies
595978,Austin Hedges,1,.175,.473,Pittsburgh Pirates
669087,Sam Huff,0,.200,.473,Texas Rangers
553882,Omar Narvaez,0,.214,.472,New York Mets
643393,Tony Kemp,1,.159,.471,Oakland Athletics
596847,Ji Man Choi,2,.125,.469,Pittsburgh Pirates
664874,Seby Zavala,4,.150,.469,Chicago White Sox
668901,Mark Vientos,1,.178,.468,New York Mets
545350,Jake Marisnick,0,.184,.462,Detroit Tigers
687401,Joey Ortiz,0,.219,.462,Baltimore Orioles
543592,Austin Nola,1,.142,.460,San Diego Padres
669911,Michael Toglia,0,.174,.457,Colorado Rockies
571466,Tucker Barnhart,0,.173,.454,Chicago Cubs
