playerId,Name,win,lose,era,whip,team
674370,Osvaldo Bido,0,0,2.25,1.75,Pittsburgh Pirates
682175,Joe Jacques,1,0,2.25,1.50,Boston Red Sox
676775,Keaton Winn,0,0,2.25,1.00,San Francisco Giants
664285,Framber Valdez,6,5,2.27,1.03,Houston Astros
642545,Jaime Barria,2,2,2.28,1.06,Los Angeles Angels
592351,Jon Gray,6,2,2.32,0.96,Texas Rangers
571656,Buck Farmer,2,3,2.34,0.84,Cincinnati Reds
630023,Yonny Chirinos,3,1,2.35,0.94,Tampa Bay Rays
677053,Andrew Nardi,4,1,2.35,1.01,Miami Marlins
623465,Evan Phillips,1,2,2.36,0.83,Los Angeles Dodgers
621363,Colin Poche,4,2,2.36,1.16,Tampa Bay Rays
543243,Sonny Gray,4,1,2.37,1.28,Minnesota Twins
660813,Brusdar Graterol,2,2,2.40,1.23,Los Angeles Dodgers
571946,Shelby Miller,1,0,2.40,1.00,Los Angeles Dodgers
663986,Trevor Stephan,3,2,2.40,1.23,Cleveland Guardians
670174,Josh Winckowski,2,1,2.43,1.16,Boston Red Sox
542585,Jose Cisnero,2,1,2.45,1.32,Detroit Tigers
671345,Jason Foley,2,2,2.45,1.09,Detroit Tigers
573186,Marcus Stroman,8,4,2.45,1.04,Chicago Cubs
605280,Clay Holmes,4,2,2.48,1.24,New York Yankees
606965,Chris Devenski,3,1,2.49,0.75,Los Angeles Angels
608718,Brent Suter,4,0,2.50,1.11,Colorado Rockies
667427,Zach Jackson,2,1,2.50,1.56,Oakland Athletics
606303,Joel Payamps,2,1,2.51,1.11,Milwaukee Brewers
666619,Gregory Santos,2,0,2.52,1.21,Chicago White Sox
681982,Grant Anderson,1,0,2.53,0.84,Texas Rangers
687396,Brent Headrick,1,0,2.53,0.94,Minnesota Twins
668754,Braden Bristo,0,0,2.57,1.29,Detroit Tigers
656546,Jeff Hoffman,0,0,2.57,1.29,Philadelphia Phillies
571882,Derek Law,3,4,2.57,1.48,Cincinnati Reds
543135,Nathan Eovaldi,9,3,2.59,0.98,Texas Rangers
593619,Domingo Tapia,0,1,2.60,1.27,San Diego Padres
693821,Bryce Elder,5,1,2.60,1.14,Atlanta Braves
656876,Drew Rasmussen,4,2,2.62,1.05,Tampa Bay Rays
669160,Dustin May,4,1,2.63,0.94,Los Angeles Dodgers
669796,Jose Hernandez,0,1,2.63,1.02,Pittsburgh Pirates
593974,Wandy Peralta,2,1,2.63,1.32,New York Yankees
621051,Steven Wilson,1,0,2.65,0.97,San Diego Padres
641927,Bailey Ober,4,3,2.65,0.99,Minnesota Twins
657514,Brennan Bernardino,1,0,2.66,1.13,Boston Red Sox
650644,Aaron Civale,2,2,2.67,1.26,Cleveland Guardians
592094,Jason Adam,2,1,2.67,1.12,Tampa Bay Rays
608665,Kendall Graveman,1,3,2.67,0.99,Chicago White Sox
594798,Jacob deGrom,2,0,2.67,0.76,Texas Rangers
657024,Erik Swanson,2,2,2.67,0.86,Toronto Blue Jays
543518,Scott McGough,0,5,2.68,0.84,Arizona Diamondbacks
661403,Emmanuel Clase,1,4,2.70,1.11,Cleveland Guardians
543056,Danny Coulombe,2,1,2.70,1.20,Baltimore Orioles
657424,Matt Gage,0,0,2.70,1.35,Houston Astros
642528,Jonathan Loaisiga,0,0,2.70,0.60,New York Yankees
595411,Ryan Sherriff,0,0,2.70,1.20,Boston Red Sox
666277,George Soriano,0,0,2.70,1.50,Miami Marlins
686839,Brendan White,0,0,2.70,0.90,Detroit Tigers
657006,Justin Steele,7,2,2.71,1.07,Chicago Cubs
502624,Chase Anderson,0,0,2.72,1.05,Colorado Rockies
643410,Mark Leiter Jr.,1,1,2.73,0.94,Chicago Cubs
622491,Luis Castillo,4,5,2.73,1.02,Seattle Mariners
543037,Gerrit Cole,7,1,2.75,1.11,New York Yankees
656464,Kevin Ginkel,3,0,2.76,1.13,Arizona Diamondbacks
605447,Jordan Romano,3,2,2.76,1.13,Toronto Blue Jays
623149,Paul Sewald,2,0,2.76,0.99,Seattle Mariners
669459,Kyle Nelson,4,1,2.77,1.38,Arizona Diamondbacks
665625,Elvis Peguero,1,0,2.77,1.12,Milwaukee Brewers
641540,Dane Dunning,6,1,2.78,1.19,Texas Rangers
543521,Collin McHugh,3,0,2.79,1.55,Atlanta Braves
607259,Nick Martinez,3,2,2.80,1.19,San Diego Padres
676272,Bobby Miller,3,1,2.83,1.01,Los Angeles Dodgers
669060,Bryse Wilson,1,0,2.83,1.14,Milwaukee Brewers
605177,Andrew Chafin,2,1,2.84,1.34,Arizona Diamondbacks
668674,Lucas Erceg,1,0,2.87,1.47,Oakland Athletics
669947,Jesse Scholtens,0,2,2.89,1.07,Chicago White Sox
608379,Michael Wacha,7,2,2.89,1.06,San Diego Padres
664299,Cristian Javier,7,1,2.90,1.04,Houston Astros
664199,Taylor Clarke,1,0,2.90,1.32,Kansas City Royals
656945,Tanner Scott,4,1,2.91,1.12,Miami Marlins
675540,Xzavion Curry,3,0,2.92,1.24,Cleveland Guardians
608371,Lucas Sims,1,1,2.92,1.14,Cincinnati Reds
622250,Josh Sborz,3,2,2.93,0.90,Texas Rangers
622065,Alex Young,0,0,2.93,1.30,Cincinnati Reds
656529,Sam Hentges,0,0,2.93,1.17,Cleveland Guardians
477132,Clayton Kershaw,8,4,2.95,1.11,Los Angeles Dodgers
668678,Zac Gallen,8,2,2.96,1.13,Arizona Diamondbacks
547973,Aroldis Chapman,2,2,2.96,1.36,Kansas City Royals
573124,Taylor Rogers,3,2,2.96,1.07,San Francisco Giants
676130,Jose Butto,0,1,3.00,1.75,New York Mets
664076,Garrett Cleavinger,1,0,3.00,1.00,Tampa Bay Rays
665620,Deivi Garcia,0,0,3.00,1.00,New York Yankees
607237,Amir Garrett,0,0,3.00,1.76,Kansas City Royals
664875,Justin Lawrence,3,3,3.00,1.13,Colorado Rockies
669674,Sam Long,0,0,3.00,1.07,Oakland Athletics
683232,Nick Mears,0,0,3.00,1.33,Colorado Rockies
519293,Will Smith,1,2,3.00,0.85,Texas Rangers
607732,Jacob Stallings,0,0,3.00,1.00,Miami Marlins
592332,Kevin Gausman,6,3,3.01,1.13,Toronto Blue Jays
518876,Merrill Kelly,8,3,3.04,1.11,Arizona Diamondbacks
676684,Will Vest,2,0,3.08,1.03,Detroit Tigers
548384,Brooks Raley,1,1,3.09,1.29,New York Mets
502171,Alex Cobb,5,2,3.09,1.37,San Francisco Giants
572020,James Paxton,2,1,3.09,1.16,Boston Red Sox
669276,Dylan Lee,1,0,3.10,1.23,Atlanta Braves
663773,Bryan Hoeing,1,1,3.12,1.38,Miami Marlins
571948,Hoby Milner,0,0,3.12,1.23,Milwaukee Brewers
642048,Tayler Saucedo,2,1,3.12,1.33,Seattle Mariners
605154,John Brebbia,2,0,3.14,1.08,San Francisco Giants
543901,Ryan Weber,1,0,3.14,1.26,New York Yankees
657277,Logan Webb,5,6,3.15,1.08,San Francisco Giants
641816,Tyler Mahle,1,2,3.16,1.05,Minnesota Twins
543294,Kyle Hendricks,2,2,3.18,1.06,Chicago Cubs
657612,Tim Hill,1,1,3.18,1.20,San Diego Padres
445276,Kenley Jansen,2,3,3.18,1.41,Boston Red Sox
656638,Alex Lange,4,2,3.18,1.13,Detroit Tigers
670990,Yohan Ramirez,1,0,3.18,1.37,Pittsburgh Pirates
680686,Josiah Gray,4,5,3.19,1.35,Washington Nationals
669330,Tyler Wells,6,2,3.20,0.86,Baltimore Orioles
680704,Nick Sandlin,2,3,3.20,1.03,Cleveland Guardians
489446,Kirby Yates,2,0,3.20,1.26,Atlanta Braves
543859,Michael Tonkin,3,2,3.21,0.95,Atlanta Braves
660853,Enyel De Los Santos,2,1,3.21,1.14,Cleveland Guardians
605218,Carl Edwards Jr.,1,3,3.23,1.43,Washington Nationals
669923,George Kirby,6,5,3.24,1.07,Seattle Mariners
664139,Ian Gibaut,6,1,3.24,1.17,Cincinnati Reds
664854,Ryan Helsley,3,4,3.24,1.16,St. Louis Cardinals
650911,Cristopher Sanchez,0,0,3.24,1.08,Philadelphia Phillies
621107,Zach Eflin,8,3,3.26,1.00,Tampa Bay Rays
657240,Julian Merryweather,1,0,3.26,1.38,Chicago Cubs
656061,Albert Abreu,2,2,3.27,1.30,New York Yankees
489119,Wade Miley,4,2,3.28,1.09,Milwaukee Brewers
621244,Jose Berrios,7,4,3.28,1.16,Toronto Blue Jays
656271,Brock Burke,2,2,3.29,1.06,Texas Rangers
660271,Shohei Ohtani,6,2,3.29,1.05,Los Angeles Angels
623437,Justin Topa,1,2,3.29,1.35,Seattle Mariners
657746,Joe Ryan,7,4,3.30,0.97,Minnesota Twins
663941,Tristan Beck,1,0,3.31,1.10,San Francisco Giants
681806,Andrew Wantz,1,0,3.32,0.97,Los Angeles Angels
641329,Bryan Baker,3,2,3.34,1.25,Baltimore Orioles
640451,Hunter Harvey,3,3,3.34,1.08,Washington Nationals
686613,Hunter Brown,6,3,3.35,1.19,Houston Astros
656234,Jake Bird,1,1,3.35,1.25,Colorado Rockies
669618,Joe Barlow,0,0,3.38,1.13,Texas Rangers
665019,Kody Clemens,0,0,3.38,2.63,Philadelphia Phillies
592254,Jose De Leon,0,1,3.38,1.06,Minnesota Twins
592346,Chi Chi Gonzalez,0,0,3.38,1.88,Miami Marlins
641627,Trevor Gott,0,2,3.38,1.39,Seattle Mariners
695243,Mason Miller,0,2,3.38,0.98,Oakland Athletics
605446,Dereck Rodriguez,0,0,3.38,1.50,Atlanta Braves
666720,Yerry Rodriguez,0,0,3.38,1.31,Texas Rangers
676760,Ron Marinaccio,3,3,3.41,1.11,New York Yankees
641585,J.P. France,2,2,3.42,1.20,Houston Astros
